Sequential
1488,9;
58,2491;
59,1667;
33,6335;
26,0494;
21,7734;
20,7051;
26,5794;
19,482;
20,1388;
19,8376;
18,8252;
20,9995;
19,8839;
20,9474;
20,1927;
22,4283;
21,3989;
22,4656;
22,8555;
19,3981;
21,6338;
21,5596;
19,1209;
20,5201;
20,5082;
20,9256;
19,237;
20,5835;
21,105;
19,093;
19,8583;
21,2753;
22,8123;
23,7781;
21,9577;
22,1504;
23,8875;
23,0632;
19,9462;
20,0526;
18,6033;
20,5606;
20,484;
21,6462;
21,4824;
22,1643;
20,6277;
19,479;
19,4689;
19,8861;
18,8947;
22,1078;
20,5743;
22,4387;
21,6901;
23,032;
20,0569;
19,2245;
20,9014;
19,5402;
18,9597;
20,4268;
20,7799;
21,3807;
22,6238;
21,7158;
22,2472;
19,9766;
19,6229;
19,1871;
19,399;
19,2644;
22,6538;
21,1577;
22,2423;
21,2505;
20,7481;
18,7705;
21,2845;
21,0166;
20,9892;
19,7395;
22,1105;
22,493;
24,5295;
21,3422;
20,9637;
21,7415;
26,2222;
24,2341;
22,1083;
24,355;
22,9069;
19,7246;
21,0624;
19,8558;
19,5677;
19,7169;
20,2024;
19,758;
20,7137;
22,4489;
23,0608;
22,5515;
25,8851;
24,2218;
26,7968;
29,418;
28,122;
28,7553;
30,5026;
28,3276;
21,7525;
30,2098;
22,4437;
28,4451;
23,7459;
25,5035;
25,8665;
26,8185;
22,9035;
28,801;
23,8008;
26,9467;
27,8115;
22,0426;
21,551;
20,5741;
21,0103;
21,3237;
22,5057;
21,2458;
21,9288;
24,5449;
21,4;
23,5602;
19,9198;
21,0659;
23,3258;
25,5874;
22,2288;
20,4555;
22,3145;
21,5677;
21,7074;
22,4604;
21,7185;
21,2994;
19,9303;
22,4606;
20,6485;
24,1581;
21,7613;
22,3833;
20,1978;
20,8166;
20,3372;
20,6511;
22,8003;
21,1253;
22,2134;
22,4773;
22,4917;
21,4;
20,2368;
25,1263;
21,9168;
23,1699;
23,2487;
22,961;
22,1119;
21,7331;
19,8136;
20,1021;
19,6714;
18,919;
20,9196;
21,4389;
21,731;
21,4324;
21,4356;
22,9109;
18,8313;
20,1184;
20,5959;
19,3519;
19,4629;
21,8565;
20,7517;
25,7311;
21,3402;
18,6963;
21,1623;
21,919;
22,5117;
20,8016;
21,9378;
